node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
N8478,junction,,3.0,graph,,N8478,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.77152289849612,-73.97000150584576,1,11001
N3125,junction,,4.0,graph,,N3125,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.7714771015518,-73.96993609417642,2,11002
N3124,junction,,4.0,graph,,N3124,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.77142090379329,-73.96986910140096,3,11003
N1479,junction,,4.0,graph,,N1479,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.77136120017036,-73.9697978971605,4,11004
INF_0094,infrastructure,amenity:drinking_water,,infrastructure,E06955,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.595993698781493,0,1,1,11,40.77105581962096,-73.96878270273473,5,11005
N1489,junction,,3.0,graph,,N1489,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.77098799601214,-73.96871320504722,6,11006
N1484,junction,,3.0,graph,,N1484,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.770603802704386,-73.9693257966994,7,11007
N1466,junction,,3.0,graph,,N1466,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.77039219613442,-73.96985950256968,8,11008
N1441,junction,,3.0,graph,,N1441,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.770184004227566,-73.9700250973801,9,11009
INF_0080,infrastructure,amenity:drinking_water,,infrastructure,E01437,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,3.6174413464764132,0,1,1,11,40.77008567777959,-73.97021350030558,10,11010
INF_0261,infrastructure,tourism:information,,infrastructure,E01541,Sled dogs memorial plaque,useful_infrastructure; tourism:information,infrastructure,#9467bd,Information / landmark,tourism,information,Information / landmark,Information / landmark,Sled dogs memorial plaque,Sled dogs memorial plaque,,,False,1.516406025032583,0,1,1,11,40.77000251321311,-73.97099355699363,11,11011
N1520,junction,,3.0,graph,,N1520,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.769995604054465,-73.97097840392257,12,11012
N1385,junction,,4.0,graph,,N1385,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.769971296748466,-73.97093870560316,13,11013
INF_0011,infrastructure,tourism:artwork,,infrastructure,E01374,Balto,useful_infrastructure; tourism:artwork,infrastructure,#9467bd,Information / landmark,tourism,artwork,Information / landmark,Information / landmark,Balto,Balto,,,False,3.992352445091903,0,1,1,11,40.76993848638777,-73.97097260072188,14,11014
N1368,junction,,3.0,graph,,N1368,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.769804903858656,-73.9711539974801,15,11015
N1518,dead_end,,1.0,graph,,N1518,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76965820157548,-73.96992200276013,16,11016
INF_0014,infrastructure,leisure:playground,,infrastructure,E01508,Billy Johnson Playground,useful_infrastructure; leisure:playground,infrastructure,#e377c2,Recreation,leisure,playground,Recreation,Recreation,Billy Johnson Playground,Billy Johnson Playground,,,False,20.0440062796184,0,1,1,11,40.7696582,-73.969922,17,11017
N1427,junction,,3.0,graph,,N1427,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76947919930138,-73.97046140468491,18,11018
INF_0100,infrastructure,amenity:drinking_water,,infrastructure,E01413,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,6.4628357284670175,0,1,1,11,40.769387669709445,-73.97058875518577,19,11019
N1396,junction,,3.0,graph,,N1396,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.7693597036221,-73.97111089799463,20,11020
N12979,junction,,3.0,graph,,N12979,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76921380121312,-73.97169170531069,21,11021
N1421,junction,,3.0,graph,,N1421,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76907399914253,-73.9709236027065,22,11022
N12980,dead_end,,1.0,graph,,N12980,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76896490423631,-73.97178220485186,23,11023
N1436,junction,,3.0,graph,,N1436,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76884999692571,-73.97095999837404,24,11024
INF_0092,infrastructure,amenity:drinking_water,,infrastructure,E09314,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,5.099063264762645,0,1,1,11,40.76861300695868,-73.9709436074214,25,11025
N8996,junction,,3.0,graph,,N8996,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76860990246906,-73.97094350033481,26,11026
INF_0283,infrastructure,amenity:toilets,,infrastructure,E13783,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,3.9275729939271415,0,1,1,11,40.76843330133825,-73.97072340970536,27,11027
INF_0145,infrastructure,tourism:attraction,,infrastructure,E06049,Grizzly Bear,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Grizzly Bear,Grizzly Bear,,,False,11.463787098314866,0,1,1,11,40.768370499999996,-73.972035,28,11028
INF_0264,infrastructure,tourism:attraction,,infrastructure,E06059,Snow Monkey,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Snow Monkey,Snow Monkey,,,False,16.182150131018144,0,1,1,11,40.76832535142093,-73.9723086779748,29,11029
N5965,junction,,3.0,graph,,N5965,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.7683105977477,-73.9721664023456,30,11030
N13121,dead_end,,1.0,graph,,N13121,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76829959766166,-73.97040500069059,31,11031
N5980,dead_end,,1.0,graph,,N5980,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76826799731574,-73.97200259879244,32,11032
INF_0254,infrastructure,tourism:attraction,,infrastructure,E05989,Seal,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Seal,Seal,,,False,13.489322384995072,0,1,1,11,40.76826503773909,-73.9716829336252,33,11033
N5917,junction,,4.0,graph,,N5917,,core,red,Core candidate node,,,,,,,,,,,0,1,1,11,40.76824389810542,-73.9720206010689,34,11034
INF_0133,infrastructure,tourism:attraction,,infrastructure,E05982,Gentoo Penguin,useful_infrastructure; tourism:attraction,infrastructure,#9467bd,Information / landmark,tourism,attraction,Information / landmark,Information / landmark,Gentoo Penguin,Gentoo Penguin,,,False,12.537872985462622,0,1,1,11,40.76821830000001,-73.9714798,35,11035
